year,borough,hour,injured,killed
2014,Unspecified,5,578,6
2014,Unspecified,6,642,10
2014,Unspecified,7,827,2
2014,Unspecified,8,1196,2
2014,Unspecified,9,1006,0
2014,Unspecified,10,1042,4
2014,Unspecified,11,1160,4
2014,Unspecified,12,1210,8
2014,Unspecified,13,1206,4
2014,Unspecified,14,1540,2
2014,Unspecified,15,1444,0
2014,Unspecified,16,1732,2
2014,Unspecified,17,1760,10
2014,Unspecified,18,1472,2
2014,Unspecified,19,1274,6
2014,Unspecified,20,1088,2
2014,Unspecified,21,1002,14
2014,Unspecified,22,1145,8
2014,Unspecified,23,956,12
2015,Bronx,0,198,0
2015,Bronx,1,180,4
2015,Bronx,2,172,2
2015,Bronx,3,150,2
2015,Bronx,4,192,2
2015,Bronx,5,110,2
2015,Bronx,6,178,0
2015,Bronx,7,266,0
2015,Bronx,8,698,2
2015,Bronx,9,572,4
2015,Bronx,10,390,0
2015,Bronx,11,398,0
2015,Bronx,12,494,4
2015,Bronx,13,540,2
2015,Bronx,14,748,0
2015,Bronx,15,662,0
2015,Bronx,16,940,2
2015,Bronx,17,814,6
2015,Bronx,18,838,8
2015,Bronx,19,662,0
2015,Bronx,20,634,0
2015,Bronx,21,578,6
2015,Bronx,22,514,0
2015,Bronx,23,324,6
2015,Brooklyn,0,872,4
2015,Brooklyn,1,552,6
2015,Brooklyn,2,452,0
2015,Brooklyn,3,338,2
2015,Brooklyn,4,394,2
2015,Brooklyn,5,348,8
2015,Brooklyn,6,468,2
2015,Brooklyn,7,700,2
2015,Brooklyn,8,1296,2
2015,Brooklyn,9,1240,6
2015,Brooklyn,10,1068,10
2015,Brooklyn,11,1148,6
2015,Brooklyn,12,1286,2
2015,Brooklyn,13,1552,4
2015,Brooklyn,14,1670,4
2015,Brooklyn,15,1806,6
2015,Brooklyn,16,1996,6
2015,Brooklyn,17,2104,16
2015,Brooklyn,18,1944,2
2015,Brooklyn,19,1558,14
2015,Brooklyn,20,1434,8
2015,Brooklyn,21,1250,4
2015,Brooklyn,22,1054,14
2015,Brooklyn,23,882,4
2015,Manhattan,0,408,2
2015,Manhattan,1,300,0
2015,Manhattan,2,270,0
2015,Manhattan,3,268,0
2015,Manhattan,4,206,2
2015,Manhattan,5,176,2
2015,Manhattan,6,248,0
2015,Manhattan,7,326,0
2015,Manhattan,8,552,0
2015,Manhattan,9,566,6
2015,Manhattan,10,498,2
2015,Manhattan,11,614,4
2015,Manhattan,12,632,2
2015,Manhattan,13,734,0
2015,Manhattan,14,798,4
2015,Manhattan,15,756,4
2015,Manhattan,16,786,2
2015,Manhattan,17,834,4
2015,Manhattan,18,854,2
2015,Manhattan,19,812,4
2015,Manhattan,20,734,0
2015,Manhattan,21,594,2
2015,Manhattan,22,534,0
2015,Manhattan,23,562,2
2015,Queens,0,510,6
2015,Queens,1,344,8
2015,Queens,2,264,0
2015,Queens,3,230,4
2015,Queens,4,282,2
2015,Queens,5,346,2
2015,Queens,6,444,0
2015,Queens,7,708,4
2015,Queens,8,1266,6
2015,Queens,9,1000,2
2015,Queens,10,916,0
2015,Queens,11,854,0
2015,Queens,12,936,2
2015,Queens,13,1094,4
2015,Queens,14,1338,4
2015,Queens,15,1238,2
2015,Queens,16,1476,4
2015,Queens,17,1588,10
2015,Queens,18,1446,12
2015,Queens,19,1186,10
2015,Queens,20,1096,4
2015,Queens,21,876,6
2015,Queens,22,862,6
2015,Queens,23,546,4
2015,Staten Island,0,46,0
2015,Staten Island,1,54,2
2015,Staten Island,2,28,0
2015,Staten Island,3,14,0
2015,Staten Island,4,28,2
2015,Staten Island,5,34,0
2015,Staten Island,6,60,0
2015,Staten Island,7,156,0
2015,Staten Island,8,216,0
2015,Staten Island,9,104,4
2015,Staten Island,10,126,0
2015,Staten Island,11,136,2
2015,Staten Island,12,186,0
2015,Staten Island,13,136,0
2015,Staten Island,14,170,0
2015,Staten Island,15,232,0
2015,Staten Island,16,282,2
2015,Staten Island,17,272,2
2015,Staten Island,18,240,0
2015,Staten Island,19,174,4
2015,Staten Island,20,136,0
2015,Staten Island,21,130,0
2015,Staten Island,22,66,2
2015,Staten Island,23,70,4
2015,Unspecified,0,870,10
2015,Unspecified,1,574,8
2015,Unspecified,2,498,6
2015,Unspecified,3,470,10
2015,Unspecified,4,624,14
2015,Unspecified,5,512,4
2015,Unspecified,6,792,6
2015,Unspecified,7,944,2
2015,Unspecified,8,1228,2
2015,Unspecified,9,1222,2
2015,Unspecified,10,1062,6
2015,Unspecified,11,1212,4
2015,Unspecified,12,1096,4
2015,Unspecified,13,1356,6
2015,Unspecified,14,1606,0
2015,Unspecified,15,1670,2
2015,Unspecified,16,1772,0
2015,Unspecified,17,1848,4
2015,Unspecified,18,1674,6
2015,Unspecified,19,1554,6
2015,Unspecified,20,1230,4
2015,Unspecified,21,1086,6
2015,Unspecified,22,1180,6
2015,Unspecified,23,968,12
2016,Bronx,0,440,0
2016,Bronx,1,182,2
2016,Bronx,2,186,0
2016,Bronx,3,180,0
2016,Bronx,4,176,2
2016,Bronx,5,158,2
2016,Bronx,6,232,0
2016,Bronx,7,340,0
2016,Bronx,8,716,2
2016,Bronx,9,456,5
2016,Bronx,10,444,4
2016,Bronx,11,536,2
2016,Bronx,12,458,0
2016,Bronx,13,706,0
2016,Bronx,14,781,0
2016,Bronx,15,736,0
2016,Bronx,16,886,4
2016,Bronx,17,750,2
2016,Bronx,18,908,0
2016,Bronx,19,778,2
2016,Bronx,20,634,2
2016,Bronx,21,516,6
2016,Bronx,22,554,0
2016,Bronx,23,352,4
2016,Brooklyn,0,1032,4
2016,Brooklyn,1,568,0
2016,Brooklyn,2,426,2
2016,Brooklyn,3,314,0
2016,Brooklyn,4,416,8
2016,Brooklyn,5,410,0
2016,Brooklyn,6,628,4
2016,Brooklyn,7,852,2
2016,Brooklyn,8,1199,4
2016,Brooklyn,9,1134,2
2016,Brooklyn,10,1097,4
2016,Brooklyn,11,1158,8
2016,Brooklyn,12,1241,4
2016,Brooklyn,13,1484,2
